feature1,feature2,target
-4.4020,0.7561,0
-7.3329,-3.2277,0
-7.9805,-0.6145,0
-7.6433,-1.0860,0
-7.5759,-0.8266,0
-9.7757,1.5322,0
-5.9735,2.9611,0
-7.4133,-0.7009,0
-8.4446,-2.6786,0
-5.7985,-1.9071,0
-9.5526,-0.3562,0
-4.9259,0.4100,0
-9.2732,-1.2349,0
-6.4170,-0.2780,0
-8.8317,-0.3984,0
-6.2095,3.4227,0
-9.6549,-1.0850,0
-8.8922,-4.1900,0
-9.1001,-1.7734,0
-5.5532,-0.2285,0
-10.3116,1.1201,0
-8.1171,-3.0192,0
-8.5334,-1.0195,0
-9.0136,0.0515,0
-11.3941,-0.4638,0
-5.7451,1.4771,0
-5.5806,1.9388,0
-4.9235,-1.9370,0
-6.0350,-3.2232,0
-8.5442,-3.3160,0
-5.6846,2.3101,0
-7.8419,3.0738,0
-8.6687,0.2609,0
-7.2351,-1.8432,0
-6.7415,3.3584,0
-9.2752,1.5577,0
-7.7676,3.0651,0
-6.6621,1.1712,0
-6.3860,0.4314,0
-9.9175,2.4104,0
-9.8741,0.4132,0
-6.4364,-1.4513,0
-7.2487,2.0228,0
-7.5418,-1.5392,0
-12.5502,-1.6833,0
-8.5238,-0.8945,0
-9.1628,0.6535,0
-8.4954,-0.1896,0
-6.3238,-1.4817,0
-8.0200,3.7380,0
-5.9857,-2.2405,0
-7.6381,0.9777,0
-5.3636,0.2581,0
-8.4190,-1.2653,0
-6.3827,0.5422,0
-8.3949,-0.3275,0
-8.2209,1.2551,0
-8.6950,0.8425,0
-6.0251,0.8422,0
-8.9449,2.3296,0
-8.6747,0.7386,0
-8.8048,-3.0209,0
-7.1090,0.4972,0
-7.6341,0.4782,0
-8.6231,-1.2773,0
-7.7911,3.3070,0
-6.0887,-0.9007,0
-6.5323,-0.8286,0
-8.2920,1.4883,0
-8.4098,-2.9023,0
-9.0701,0.1531,0
-7.2783,2.1505,0
-8.7402,1.2669,0
-6.7622,-0.2581,0
-6.0523,0.8524,0
-8.9936,1.8562,0
-9.6147,0.1033,0
-7.4958,0.7355,0
-8.7565,-0.0605,0
-7.7436,1.7270,0
-8.8786,0.1260,0
-7.9525,-2.2483,0
-2.8648,-0.1234,0
-10.0750,2.4398,0
-9.3543,0.6424,0
-6.0055,-1.1231,0
-8.2463,-0.9358,0
-7.7241,-2.8102,0
-9.6402,-0.2438,0
-5.7005,1.0942,0
-4.5046,1.2021,0
-8.3853,-0.2128,0
-11.0167,-1.6641,0
-9.2673,0.4687,0
-6.3779,-0.9706,0
-8.5193,-2.6787,0
-7.7213,0.4298,0
-6.7279,-1.3557,0
-4.0558,2.0699,0
-7.6650,-0.9131,0
-8.0570,0.2618,0
-7.5323,0.8375,0
-6.1681,2.3664,0
-5.5129,-0.1909,0
-6.8275,-0.6705,0
-8.5171,3.3096,0
-8.2965,3.4481,0
-8.1045,0.4379,0
-5.6131,0.0414,0
-6.8191,-0.4181,0
-8.3236,-0.2871,0
-8.6253,2.8256,0
-7.7905,2.9838,0
-12.1507,0.0319,0
-6.5267,-0.5089,0
-5.6040,1.1080,0
-7.9756,0.7535,0
-2.6297,0.4365,0
-6.9812,-0.7621,0
-7.2688,-2.2331,0
-7.8434,4.2567,0
-5.6515,1.1110,0
-5.5880,3.2593,0
-6.4719,3.5869,0
-5.6471,0.2884,0
-4.5218,-4.0863,0
-8.4896,0.4604,0
-9.0798,-0.2703,0
-8.6064,-1.1335,0
-2.8028,1.0868,0
-7.5934,2.2779,0
-7.9111,1.5335,0
-6.8924,2.8173,0
-9.9593,1.3263,0
-7.2883,-2.0046,0
-5.6546,-1.5110,0
-4.6954,0.8887,0
-6.2954,0.1394,0
-5.9333,-3.2314,0
-7.3706,-1.0882,0
-7.0104,-0.0817,0
-6.4321,-1.4508,0
-4.3145,4.0112,0
-7.8608,-0.0259,0
-7.0019,2.1895,0
-4.2145,-2.0885,0
-8.5654,-1.8397,0
