feature1,feature2,target
-4.5921,-0.1196,0.0000
-13.7071,-11.1999,0.0000
-15.2702,5.7771,0.0000
2.7271,4.8591,0.0000
-1.4454,-0.6333,0.0000
-10.2924,3.5702,0.0000
-10.0237,-7.9697,0.0000
-6.6921,-8.5402,0.0000
-1.1560,-6.0321,0.0000
-5.2936,-5.9330,0.0000
1.0234,-7.7144,0.0000
-5.7793,-3.1036,0.0000
-12.3611,-7.1625,0.0000
-2.6053,0.2151,0.0000
-4.2769,-8.0090,0.0000
1.4512,-5.9905,0.0000
-4.8602,-4.1864,0.0000
-5.2814,-7.4220,0.0000
-2.8779,-10.2082,0.0000
-7.2401,-6.8271,0.0000
-9.1785,-4.6221,0.0000
-4.3574,-4.6621,0.0000
-5.6961,-2.5365,0.0000
2.6117,-0.5006,0.0000
-19.0198,0.0961,0.0000
-13.3620,-12.9564,0.0000
-4.4286,-11.0419,0.0000
1.9496,-1.8831,0.0000
-8.6290,-12.3488,0.0000
-3.5212,0.4782,0.0000
-4.5699,3.3934,0.0000
-2.6129,-1.4296,0.0000
-6.3688,-3.3096,0.0000
-6.0128,-13.4333,0.0000
6.0574,-5.6568,0.0000
-4.4828,0.9499,0.0000
-4.5099,-4.0363,0.0000
-3.0811,-10.1486,0.0000
1.8189,-3.3876,0.0000
-7.7320,-0.8398,0.0000
-3.4056,-9.2582,0.0000
-4.3206,-4.9972,0.0000
-3.5017,-3.3238,0.0000
-1.8077,-10.3702,0.0000
-4.9938,-9.1209,0.0000
-2.7808,-10.9554,0.0000
-14.7965,-6.9502,0.0000
6.3820,0.1433,0.0000
-4.6223,6.1188,0.0000
-5.8692,-5.8328,0.0000
-1.1814,-3.6254,0.0000
-5.3231,-7.0968,0.0000
-5.2927,-0.2926,0.0000
-10.8569,-7.9906,0.0000
0.9988,6.3206,0.0000
-13.2312,-3.1886,0.0000
2.2999,-5.9961,0.0000
-7.5840,0.5552,0.0000
-7.4752,-8.2320,0.0000
-7.5560,-11.2163,0.0000
-15.7117,0.1609,0.0000
2.5494,-3.9992,0.0000
-5.9017,-2.7655,0.0000
-5.8110,-12.8254,0.0000
-10.4132,-3.1027,0.0000
-6.7388,-11.9610,0.0000
-11.4363,-0.7563,0.0000
-11.8269,0.0842,0.0000
-2.8331,-9.4803,0.0000
-6.4242,-4.2928,0.0000
-3.3862,-3.8576,0.0000
1.3775,-0.8532,0.0000
-7.2833,-5.7673,0.0000
-9.0714,-7.3384,0.0000
-4.6691,-15.4951,0.0000
-4.5539,-5.2074,0.0000
-6.1075,-10.8378,0.0000
-7.5773,-8.4188,0.0000
-5.2717,-15.8873,0.0000
-6.4802,-2.8863,0.0000
-8.9586,-9.2218,0.0000
-1.7149,6.8196,0.0000
-2.2641,-2.0589,0.0000
-4.7941,-1.5553,0.0000
-2.3478,-9.1745,0.0000
-3.3210,-0.8866,0.0000
-8.1937,-3.3252,0.0000
0.6224,-0.6347,0.0000
-5.0994,4.2391,0.0000
-0.3852,-6.1151,0.0000
-13.8059,-6.4622,0.0000
-4.4010,-6.7047,0.0000
-4.8890,2.3259,0.0000
-1.3343,1.0217,0.0000
-11.1481,-4.9569,0.0000
0.9544,-8.7010,0.0000
3.6533,-10.7015,0.0000
-7.9377,1.7674,0.0000
